model,model_family,dataset,attack,range_name,start_qf,end_qf,schedule,generations,qfs,clean_accuracy,clean_correct,no_defense_asr,no_defense_successes,asr,ci_low,ci_high,successes,total
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R2,85,55,front_loaded,3,"55,74,85",0.853515625,437,0.3752860411899313,164,0.3752860411899313,0.3311607409073236,0.4215848373066932,164,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R2,85,55,front_loaded,5,"55,66,74,80,85",0.853515625,437,0.3752860411899313,164,0.3729977116704805,0.3289474100307111,0.4192613898019116,163,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R3,90,60,geometric,3,"90,80,60",0.853515625,437,0.3752860411899313,164,0.4050343249427917,0.3600297706240903,0.4516939265480509,177,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R3,90,60,geometric,5,"90,86,80,72,60",0.853515625,437,0.3752860411899313,164,0.448512585812357,0.402532997489959,0.4953894889286718,196,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R3,90,60,arithmetic,3,"90,75,60",0.853515625,437,0.3752860411899313,164,0.3798627002288329,0.3355905974910797,0.4262285374857255,166,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R3,90,60,arithmetic,5,"90,83,75,68,60",0.853515625,437,0.3752860411899313,164,0.4530892448512585,0.4070279022748474,0.4999681409065717,198,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R3,90,60,fixed,3,"75,75,75",0.853515625,437,0.3752860411899313,164,0.3775743707093821,0.3333751379977119,0.4239072185976991,165,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R3,90,60,fixed,5,"75,75,75,75,75",0.853515625,437,0.3752860411899313,164,0.3798627002288329,0.3355905974910797,0.4262285374857255,166,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R3,90,60,front_loaded,3,"60,80,90",0.853515625,437,0.3752860411899313,164,0.3821510297482837,0.3378071156692236,0.4285487976889758,167,437
robustbench_wong2020fast,robustbench_cifar,cifar10,fgsm,R3,90,60,front_loaded,5,"60,72,80,86,90",0.853515625,437,0.3752860411899313,164,0.3661327231121281,0.322313854211248,0.4122846104771921,160,437
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R1,75,50,geometric,3,"75,65,50",0.8984375,460,0.3130434782608696,144,0.3108695652173913,0.2702853670556906,0.3545864578079364,143,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R1,75,50,geometric,5,"75,70,65,58,50",0.8984375,460,0.3130434782608696,144,0.3108695652173913,0.2702853670556906,0.3545864578079364,143,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R1,75,50,arithmetic,3,"75,63,50",0.8984375,460,0.3130434782608696,144,0.3152173913043478,0.2744390928349142,0.3590563682387444,145,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R1,75,50,arithmetic,5,"75,69,63,56,50",0.8984375,460,0.3130434782608696,144,0.3108695652173913,0.2702853670556906,0.3545864578079364,143,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R1,75,50,fixed,3,"62,62,62",0.8984375,460,0.3130434782608696,144,0.3043478260869565,0.2640628427990528,0.3478735277495269,140,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R1,75,50,fixed,5,"62,62,62,62,62",0.8984375,460,0.3130434782608696,144,0.3043478260869565,0.2640628427990528,0.3478735277495269,140,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R1,75,50,front_loaded,3,"50,65,75",0.8984375,460,0.3130434782608696,144,0.2891304347826087,0.2495821620096693,0.3321714818037999,133,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R1,75,50,front_loaded,5,"50,58,65,70,75",0.8984375,460,0.3130434782608696,144,0.2956521739130435,0.2557814655384804,0.3389076325900362,136,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R2,85,55,geometric,3,"85,74,55",0.8984375,460,0.3130434782608696,144,0.3326086956521739,0.2910959933928939,0.376894012520891,153,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R2,85,55,geometric,5,"85,80,74,66,55",0.8984375,460,0.3130434782608696,144,0.3456521739130435,0.3036315807002603,0.3902293338436192,159,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R2,85,55,arithmetic,3,"85,70,55",0.8984375,460,0.3130434782608696,144,0.3260869565217391,0.2848418781549611,0.3702126734437765,150,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R2,85,55,arithmetic,5,"85,78,70,63,55",0.8984375,460,0.3130434782608696,144,0.3391304347826087,0.2973592708370586,0.3835661893917735,156,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R2,85,55,fixed,3,"70,70,70",0.8984375,460,0.3130434782608696,144,0.308695652173913,0.2682101108638784,0.3523498958947328,142,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R2,85,55,fixed,5,"70,70,70,70,70",0.8984375,460,0.3130434782608696,144,0.308695652173913,0.2682101108638784,0.3523498958947328,142,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R2,85,55,front_loaded,3,"55,74,85",0.8984375,460,0.3130434782608696,144,0.3021739130434782,0.26199084369109,0.3456337087524739,139,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R2,85,55,front_loaded,5,"55,66,74,80,85",0.8984375,460,0.3130434782608696,144,0.2934782608695652,0.2537139021176276,0.3366633779058733,135,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R3,90,60,geometric,3,"90,80,60",0.8984375,460,0.3130434782608696,144,0.3173913043478261,0.2765175504369486,0.3612897287417257,146,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R3,90,60,geometric,5,"90,86,80,72,60",0.8984375,460,0.3130434782608696,144,0.3652173913043478,0.3225015246270587,0.4101657528619629,168,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R3,90,60,arithmetic,3,"90,75,60",0.8984375,460,0.3130434782608696,144,0.3065217391304348,0.2661359340065317,0.3501122546470638,141,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R3,90,60,arithmetic,5,"90,83,75,68,60",0.8984375,460,0.3130434782608696,144,0.3695652173913043,0.3267054400085963,0.4145854736904567,170,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R3,90,60,fixed,3,"75,75,75",0.8984375,460,0.3130434782608696,144,0.3130434782608696,0.2723616963978932,0.3568219465707496,144,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R3,90,60,fixed,5,"75,75,75,75,75",0.8984375,460,0.3130434782608696,144,0.3130434782608696,0.2723616963978932,0.3568219465707496,144,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R3,90,60,front_loaded,3,"60,80,90",0.8984375,460,0.3130434782608696,144,0.3021739130434782,0.26199084369109,0.3456337087524739,139,460
robustbench_engstrom2019,robustbench_cifar,cifar10,fgsm,R3,90,60,front_loaded,5,"60,72,80,86,90",0.8984375,460,0.3130434782608696,144,0.2891304347826087,0.2495821620096693,0.3321714818037999,133,460
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R1,75,50,geometric,3,"75,65,50",0.86328125,442,0.2760180995475113,122,0.3099547511312217,0.2686324918994401,0.354551945805432,137,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R1,75,50,geometric,5,"75,70,65,58,50",0.86328125,442,0.2760180995475113,122,0.3099547511312217,0.2686324918994401,0.354551945805432,137,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R1,75,50,arithmetic,3,"75,63,50",0.86328125,442,0.2760180995475113,122,0.3076923076923077,0.2664756303130263,0.3522229078407133,136,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R1,75,50,arithmetic,5,"75,69,63,56,50",0.86328125,442,0.2760180995475113,122,0.3144796380090497,0.27294977183109,0.359206464976047,139,442
